Story ID,Epic,User Role,User Story,Acceptance Criteria,Edge Cases,Priority,Sprint,Dependencies,Wireframe Ref,Status
US-013,Notifications,Vendor,"As a vendor, I want to receive notifications for new orders so I don't miss any sales","1. Push notification on new order
2. In-app notification with sound
3. Notification shows order summary (items, total)
4. Tap notification opens order detail
5. Notification settings customizable
6. Do not disturb mode for closed hours","- Phone on silent (show visual notification prominently)
- Multiple rapid orders (batch notifications)
- Notification permissions denied (show setup prompt)
- App force closed (still receive push)
- Notification language matches app language",P0,Sprint 1,US-003,08-notifications.png,Draft
US-014,Notifications,Vendor,"As a vendor, I want to receive notifications for reviews so I can respond to customers","1. Push notification on new review
2. Notification shows rating and snippet
3. Tap opens review detail
4. Badge count on notifications tab
5. Filter reviews by rating","- Negative review (prioritize notification)
- Review edited by customer (notify of update)
- Response submitted (confirm notification)
- Review flagged/removed (notify vendor)",P2,Sprint 3,US-013,08-notifications.png,Draft
US-015,Settings,Vendor,"As a vendor, I want to update my store hours so customers know when I'm open","1. Edit hours for each day of week
2. Set open/close times with picker
3. Mark days as closed
4. Add break periods (e.g., 2-5pm closed)
5. Set holiday hours
6. Changes effective immediately","- Closing time before opening time (show error)
- Currently open, changing to closed now (confirm, handle active orders)
- Holiday conflicts with regular schedule (holiday takes precedence)
- 24-hour operation (allow open = close or dedicated toggle)",P1,Sprint 2,US-001,26-store-hours.png,Draft
US-016,Settings,Vendor,"As a vendor, I want to set my delivery zones so I only receive orders I can fulfill","1. Map-based zone editor
2. Draw polygon or set radius
3. Multiple zones with different fees
4. Minimum order by zone
5. Estimated delivery time by zone
6. Zones visible to customers during checkout","- Zone overlaps another restaurant (allowed)
- Customer address on zone boundary (include in closer zone)
- Zone too small (warn minimum area)
- Zone extremely large (warn about delivery times)",P1,Sprint 2,US-001,06-settings.png,Draft
US-017,Payments,Vendor,"As a vendor, I want to view my payout history so I can reconcile my earnings","1. List of all payouts with date, amount, status
2. Filter by date range
3. Payout details (orders included, fees deducted)
4. Download statement (PDF)
5. Running balance shown
6. Pending payouts highlighted","- Payout failed (show reason, retry option)
- Payout delayed (show expected date)
- Dispute on payout (show hold status)
- Very old payouts (paginate, archive access)",P1,Sprint 3,US-002,27-payout-history.png,Draft
US-018,Reviews,Vendor,"As a vendor, I want to respond to customer reviews so I can address feedback","1. View all reviews with ratings
2. Reply button on each review
3. Reply character limit (500)
4. Reply visible to all customers
5. One reply per review (edit option)
6. Reply notification to reviewer","- Inappropriate reply (content moderation)
- Reply to edited review (show edit history)
- Customer deletes review after reply (archive reply)
- Very old reviews (still allow reply)",P2,Sprint 3,US-014,24-reviews.png,Draft
US-019,Support,Vendor,"As a vendor, I want to contact support so I can get help with issues","1. In-app chat with support
2. Chat history preserved
3. Support hours shown
4. FAQ/Help center link
5. Escalation to phone option
6. Ticket number for tracking","- Outside support hours (show estimated response time)
- Chat disconnects (auto-reconnect, preserve messages)
- Urgent issue (priority flag option)
- Attachment upload (images, screenshots)",P1,Sprint 2,US-001,29-support-chat.png,Draft
US-020,Customer Browse,Customer,"As a customer, I want to browse nearby restaurants so I can find food I want","1. Location-based restaurant list
2. Distance shown for each restaurant
3. Delivery time estimates
4. Rating and review count
5. Cuisine type filters
6. Search by restaurant or dish name
7. Sort by distance, rating, delivery time","- No restaurants nearby (expand search radius, show message)
- Location services denied (manual address entry)
- Restaurant closed now (show as closed, opening time)
- Very slow internet (cache previous results)",P0,Sprint 4,None,17-customer-home.png,Draft
US-021,Customer Browse,Customer,"As a customer, I want to view a restaurant's menu so I can decide what to order","1. Menu organized by categories
2. Item photos, names, descriptions, prices
3. Dietary tags (vegetarian, gluten-free, spicy)
4. Popular items highlighted
5. Search within menu
6. Add to cart button on each item","- Very long menu (sticky category nav)
- Item out of stock (show sold out badge)
- Restaurant closes soon (show warning banner)
- Price changes while viewing (update silently or notify)",P0,Sprint 4,US-020,18-restaurant-menu.png,Draft
US-022,Customer Order,Customer,"As a customer, I want to customize my order so I get exactly what I want","1. Item detail modal with customization options
2. Required vs optional modifiers
3. Modifier prices shown
4. Special instructions text field
5. Quantity selector
6. Running total shown
7. Add to cart button","- Conflicting modifiers (prevent selection, show message)
- Very long special instructions (character limit)
- Required modifier not selected (prevent add to cart)
- Free modifier limit exceeded (show upcharge)",P0,Sprint 4,US-021,19-item-detail.png,Draft
US-023,Customer Order,Customer,"As a customer, I want to review my cart before checkout so I can verify my order","1. Cart shows all items with customizations
2. Edit item option (returns to customization)
3. Remove item option
4. Quantity adjustable
5. Subtotal, fees, taxes, total shown
6. Promo code entry
7. Proceed to checkout button","- Item became unavailable (notify, remove from cart)
- Restaurant closed while shopping (show warning, suggest save for later)
- Cart expires (time limit on reserved items?)
- Empty cart (show empty state, suggest restaurants)",P0,Sprint 4,US-022,20-cart.png,Draft
US-024,Customer Order,Customer,"As a customer, I want to complete checkout so I can place my order","1. Delivery address selection/entry
2. Delivery time (ASAP or scheduled)
3. Payment method selection
4. Tip selection
5. Order summary
6. Place order button
7. Order confirmation screen","- Payment fails (show error, retry option)
- Address outside delivery zone (show error, suggest alternatives)
- Restaurant closes before delivery time (warn, adjust)
- Promo code invalid (show reason)
- Duplicate order detection (confirm intent)",P0,Sprint 4,US-023,21-checkout.png,Draft
US-025,Customer Order,Customer,"As a customer, I want to track my order in real-time so I know when it will arrive","1. Order status updates (confirmed, preparing, on the way, delivered)
2. Map with driver location
3. ETA countdown
4. Driver info (name, photo, vehicle)
5. Contact driver option
6. Contact restaurant option","- Driver location unavailable (show last known, message)
- ETA changes significantly (notify, explain)
- Driver changed mid-delivery (update info, notify)
- Delivery delayed (notify, offer compensation option)",P1,Sprint 5,US-024,22-order-tracking.png,Draft
US-026,Customer Order,Customer,"As a customer, I want to rate my order so I can share my experience","1. Post-delivery rating prompt
2. Star rating (1-5)
3. Optional text review
4. Photo upload option
5. Tip adjustment option
6. Reorder button
7. Skip option","- Order had issues (link to support before rating)
- Rating prompt too soon (delay until likely consumed)
- Edit rating later (allow within 7 days)
- Multiple orders same day (prompt for each separately)",P2,Sprint 5,US-025,23-order-complete.png,Draft
US-027,Promotions,Vendor,"As a vendor, I want to create promotions so I can attract more customers","1. Create promotion form
2. Discount types (percentage, fixed amount, free delivery)
3. Promo code generation
4. Usage limits (per customer, total)
5. Date range scheduling
6. Target items or entire order
7. Performance tracking","- Promo conflicts with another (show warning)
- Promo used beyond limit (enforce, show error to customer)
- Promo expired but still being used (graceful expiration)
- Very high discount (confirm with warning)",P2,Sprint 4,US-011,25-promotions.png,Draft
US-028,Team,Vendor,"As a vendor, I want to add team members so they can help manage orders","1. Invite by email
2. Role selection (Manager, Staff)
3. Permission levels defined
4. Pending invites shown
5. Resend/cancel invite option
6. Remove team member option
7. Activity log per member","- Email already registered (show error)
- Invite expired (auto-resend option)
- Remove self (prevent, show error)
- Team member deletes critical data (audit log, restore option)",P2,Sprint 4,US-001,28-team-management.png,Draft
US-029,Empty States,Vendor,"As a vendor, I want to see helpful empty states so I know what to do when there's no data","1. Empty orders shows illustration + helpful text
2. Empty menu prompts adding first item
3. Empty analytics explains data collection
4. All empty states have CTA buttons
5. Empty states are visually appealing","- First-time user (extra guidance)
- Data exists but filtered out (show clear filters option)
- Temporary empty (show different message than permanent)",P1,Sprint 2,None,11-empty-orders.png,Draft
US-030,Error Handling,System,"As a user, I want clear error messages so I can understand and resolve issues","1. All errors have user-friendly messages
2. Technical errors logged separately
3. Retry options where applicable
4. Contact support links for unresolvable errors
5. Offline mode indication
6. Auto-recovery when possible","- Network timeout (retry with exponential backoff)
- Server error (show friendly message, log details)
- Validation error (highlight field, show requirement)
- Fatal error (crash reporting, restart prompt)",P0,Sprint 1,None,15-order-error.png,Draft
